Species	Status	min_age	max_age
Myotis	extant	2.588	3.2
Plecotus	extant	2.588	3.2
Rhinolophus_ferrumequinum	extant	2.588	3.2
Chiroptera	extant	2.588	3.2
Chiroptera	extant	0.0117	5.333
Chiroptera	extant	0.781	2.588
Rhinolophus	extant	0.781	2.588
Plecotus	extant	0.781	2.588
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Miniopterus	extant	0.781	2.588
Chiroptera	extant	0.781	2.588
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Myotis	extant	0.781	2.588
Chiroptera	extant	0.781	2.588
Myotis	extant	0.781	2.588
Chiroptera	extant	0.781	2.588
Chiroptera	extant	0.126	0.781
Chiroptera	extant	0.126	0.781
Chiroptera	extant	0.126	0.781
Chiroptera	extant	0.126	0.781
Rhinolophus_ferrumequinum	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Eptesicus	extant	0.126	0.781
Barbastella	extant	0.126	0.781
Plecotus_auritus	extant	0.126	0.781
Rhinolophus_ferrumequinum	extant	0.126	0.781
Rhinolophus	extant	0.126	0.781
Rhinolophus	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Plecotus_auritus	extant	0.126	0.781
Barbastella	extant	0.126	0.781
Eptesicus	extant	0.126	0.781
Vespertilio	extant	0.126	0.781
Nyctalus	extant	0.126	0.781
Miniopterus	extant	0.126	0.781
Primonatalus_prattae	extinct	15.97	20.43
Natalidae	extinct	30.8	33.3
Mormoopidae	extinct	30.8	33.3
Emballonuridae	extinct	30.8	33.3
Emballonuridae	extinct	30.8	33.3
Vespertilionidae	extant	30.8	33.3
Myotis	extant	0.126	2.588
Myotis	extant	0.126	2.588
Myotis	extant	0.126	2.588
Plecotus_auritus	extant	0.126	2.588
Rhinolophus	extant	0.126	0.781
Myotis	extant	0.126	0.781
Vespertilio	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis	extant	0.126	0.781
Myotis_myotis	extant	0.0117	2.588
Myotis_myotis	extant	0.0117	2.588
Vespertiliavus	extinct	40.4	48.6
Emballonuridae	extinct	40.4	48.6
Necromantis	extinct	40.4	48.6
Stehlinia	extinct	40.4	48.6
Stehlinia	extinct	40.4	48.6
Rhinolophus_grivensis	extant	0.0117	2.588
Taphozous	extant	15.97	20.44
Rhinolophus_grivensis	extant	15.97	20.44
Hipposideros	extant	15.97	20.44
Hipposideros_(Brachipposideros)_dechaseauxi	extinct	15.97	20.44
Hipposideros_(Pseudorhinolophus)_bouziguensis	extinct	15.97	20.44
Asellia_mariaetheresae	extinct	15.97	20.44
Tadarida	extant	15.97	20.44
Myotis	extant	28.4	33.9
Chiroptera	extant	37.2	48.6
Icaronycteris_index	extinct	50.3	55.8
Eptesicus_campanensis	extinct	12.75	13.65
Myotis_lucifugus	extant	0.0117	2.588
Myotis_grisescens	extant	0.0117	2.588
Pipistrellus_subflavus	extant	0.0117	2.588
Eptesicus_fuscus	extant	0.0117	2.588
Chiroptera	extant	0.781	1.806
Microchiroptera	extant	38	41.3
Microchiroptera	extant	38	41.3
Microchiroptera	extant	38	41.3
Microchiroptera	extant	38	41.3
Megaderma	extant	0.0117	2.588
Myotis	extant	0.0117	2.588
