Genus,Species
Rhinolophus,canuti
Rhinolophus,capensis
Rhinolophus,celebensis
Rhinolophus,clivosus
Rhinolophus,coelophyllus
Rhinolophus,cognatus
Rhinolophus,convexus
Rhinolophus,creaghi
Rhinolophus,darlingi
Rhinolophus,deckenii
Rhinolophus,denti
Rhinolophus,eloquens
Rhinolophus,euryale
Rhinolophus,euryotis
Rhinolophus,ferrumequinum
Rhinolophus,formosae
Rhinolophus,fumigatus
Rhinolophus,guineensis
Rhinolophus,hildebrandtii
Rhinolophus,hilli
Rhinolophus,hillorum
Rhinolophus,hipposideros
Rhinolophus,inops
Rhinolophus,keyensis
Rhinolophus,landeri
Rhinolophus,lepidus
Rhinolophus,luctus
Rhinolophus,maclaudi
Rhinolophus,macrotis
Rhinolophus,madurensis
Rhinolophus,maendeleo
Rhinolophus,malayanus
Rhinolophus,marshalli
Rhinolophus,megaphyllus
Rhinolophus,mehelyi
Rhinolophus,mitratus
Rhinolophus,montanus
Rhinolophus,nereis
Rhinolophus,osgoodi
Rhinolophus,paradoxolophus
Rhinolophus,pearsonii
Rhinolophus,philippinensis
Rhinolophus,pusillus
Rhinolophus,rex
Rhinolophus,robinsoni
Rhinolophus,rouxii
Rhinolophus,rufus
Rhinolophus,ruwenzorii
Rhinolophus,sakejiensis
Rhinolophus,sedulus
Rhinolophus,shameli
Rhinolophus,shortridgei
Rhinolophus,siamensis
Rhinolophus,silvestris
Rhinolophus,simulator
Rhinolophus,sinicus
Rhinolophus,stheno
Rhinolophus,subbadius
Rhinolophus,subrufus
Rhinolophus,swinnyi
Rhinolophus,thomasi
Rhinolophus,trifoliatus
Rhinolophus,virgo
Rhinolophus,yunanensis
Rhinolophus,ziama
Rhinonicteris,aurantia
Rhinophylla,alethina
Rhinophylla,fischerae
Rhinophylla,pumilio
Rhinopoma,hardwickii
Rhinopoma,macinnesi
Rhinopoma,microphyllum
Rhinopoma,muscatellum
Rhogeessa,aeneus
Rhogeessa,alleni
Rhogeessa,genowaysi
Rhogeessa,gracilis
Rhogeessa,hussoni
Rhogeessa,io
Rhogeessa,minutilla
Rhogeessa,mira
Rhogeessa,parvula
Rhogeessa,tumida
Rhynchonycteris,naso
Rousettus,aegyptiacus
Rousettus,amplexicaudatus
Rousettus,bidens
Rousettus,celebensis
Rousettus,lanosus
Rousettus,leschenaultii
Rousettus,linduensis
Rousettus,madagascariensis
Rousettus,obliviosus
Rousettus,spinalatus
Saccolaimus,flaviventris
Saccolaimus,mixtus
Saccolaimus,peli
Saccolaimus,saccolaimus
Saccopteryx,antioquensis
Saccopteryx,bilineata
Saccopteryx,canescens
Saccopteryx,gymnura
Saccopteryx,leptura
Sauromys,petrophilus
Scleronycteris,ega
Scoteanax,rueppellii
Scotoecus,albofuscus
Scotoecus,hirundo
Scotoecus,pallidus
Scotomanes,ornatus
Scotonycteris,ophiodon
Scotonycteris,zenkeri
Scotophilus,borbonicus
Scotophilus,celebensis
Scotophilus,collinus
Scotophilus,dinganii
Scotophilus,heathii
Scotophilus,kuhlii
Scotophilus,leucogaster
Scotophilus,marovaza
Scotophilus,nigrita
Scotophilus,nucella
Scotophilus,nux
Scotophilus,robustus
Scotophilus,tandrefana
Scotophilus,viridis
Scotorepens,balstoni
Scotorepens,greyii
Scotorepens,orion
Scotorepens,sanborni
Scotozous,dormeri
Sphaerias,blanfordi
Sphaeronycteris,toxophyllum
Stenoderma,rufum
Sturnira,aratathomasi
Sturnira,bidens
Sturnira,bogotensis
Sturnira,erythromos
Sturnira,koopmanhilli
Sturnira,lilium
Sturnira,ludovici
Sturnira,luisi
Sturnira,magna
Sturnira,mistratensis
Sturnira,mordax
Sturnira,nana
Sturnira,oporaphilum
Sturnira,perla
Sturnira,sorianoi
Sturnira,tildae
Styloctenium,mindorensis
Styloctenium,wallacei
Syconycteris,australis
Syconycteris,carolinae
Syconycteris,hobbit
Tadarida,aegyptiaca
Tadarida,brasiliensis
Tadarida,fulminans
Tadarida,insignis
Tadarida,latouchei
Tadarida,lobata
Tadarida,teniotis
Tadarida,ventralis
Taphozous,achates
Taphozous,australis
Taphozous,georgianus
Taphozous,hamiltoni
Taphozous,hildegardeae
Taphozous,hilli
Taphozous,kapalgensis
Taphozous,longimanus
Taphozous,mauritianus
Taphozous,melanopogon
Taphozous,nudiventris
Taphozous,perforatus
Taphozous,theobaldi
Taphozous,troughtoni
Thoopterus,nigrescens
Thyroptera,devivoi
Thyroptera,discifera
Thyroptera,lavali
Thyroptera,tricolor
Thyroptera,wynneae
Tomopeas,ravus
Tonatia,bidens
Tonatia,saurophila
Trachops,cirrhosus
Triaenops,persicus
Triaenops,rufus
Trinycteris,nicefori
Tylonycteris,pachypus
Tylonycteris,robustula
Uroderma,bilobatum
Uroderma,magnirostrum
Vampyressa,melissa
Vampyressa,pusilla
Vampyressa,thyone
Vampyriscus,bidens
Vampyriscus,brocki
Vampyriscus,nymphaea
Vampyrodes,caraccioli
Vampyrodes,major
Vampyrum,spectrum
Vespadelus,baverstocki
Vespadelus,caurinus
Vespadelus,darlingtoni
Vespadelus,douglasorum
Vespadelus,finlaysoni
Vespadelus,pumilus
Vespadelus,regulus
Vespadelus,troughtoni
Vespadelus,vulturnus
Vespertilio,murinus
Vespertilio,sinensis
Xeronycteris,vieirai
