"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=strigiformes"
"Access Time","Thu 2017-02-16 07:22:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","strigiformes"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0142"
"Records Found","219"
"Records Returned","219"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1197769","occ","","","84190","Otus asio","species","133783","","Otus asio","species","133782","Late Pleistocene","","0.126","0.0117","50425"
"1197770","occ","","","84190","Asio sp.","genus","161528","","Asio","genus","161528","Late Pleistocene","","0.126","0.0117","50425"
"1198034","occ","","","154936","Strix varia","species","133784","","Strix varia","species","133784","Late Pleistocene","","0.126","0.0117","50468"
"1198100","occ","","","20573","Otus asio","species","133783","","Otus asio","species","133782","Late Pleistocene","","0.126","0.0117","50473"
"1198119","occ","","","144649","Tyto pollens","species","39409","species not entered","Tyto","genus","39409","Pleistocene","","2.588","0.0117","50474"
"1198120","occ","","","144649","Tyto alba","species","94500","","Tyto alba","species","94500","Pleistocene","","2.588","0.0117","50474"
"1198121","occ","","","144649","Glaucidium n. sp. dickinsoni","species","290142","","Glaucidium dickinsoni","species","290142","Pleistocene","","2.588","0.0117","50474"
"1198122","occ","","","144649","Otus n. sp. providentiae","species","290143","","Otus providentiae","species","290143","Pleistocene","","2.588","0.0117","50474"
"1198270","occ","","","17912","Strix n. sp. dakota","species","290230","","Strix dakota","species","290230","Hemingfordian","","20.43","15.97","50494"
"1201123","occ","","","20595","Tyto alba","species","94500","","Tyto alba","species","94500","Late Pleistocene","","0.126","0.0117","50707"
"1201124","occ","","","20595","Otus asio","species","133783","","Otus asio","species","133782","Late Pleistocene","","0.126","0.0117","50707"
"1201125","occ","","","20595","Speotyto cunicularia","species","289512","","Speotyto cunicularia","species","289512","Late Pleistocene","","0.126","0.0117","50707"
"1201126","occ","","","20595","Asio flammeus","species","161530","","Asio flammeus","species","161529","Late Pleistocene","","0.126","0.0117","50707"
"1201199","occ","","","155393","Bubo n. sp. sinclairi","species","291540","","Bubo sinclairi","species","291540","Late Pleistocene","","0.126","0.0117","50709"
"1201200","occ","","","155393","Otus asio","species","133783","","Otus asio","species","133782","Late Pleistocene","","0.126","0.0117","50709"
"1201272","occ","","","74235","Bubo virginianus","species","161527","","Bubo virginianus","species","161526","Late Pleistocene","","0.126","0.0117","50709"
"1201273","occ","","","74235","Bubo sinclairi","species","291540","","Bubo sinclairi","species","291540","Late Pleistocene","","0.126","0.0117","50709"
"1201274","occ","","","74235","Asio wilsonianus","species","161528","species not entered","Asio","genus","161528","Late Pleistocene","","0.126","0.0117","50709"
"1201275","occ","","","74235","Glaucidium gnoma","species","289471","species not entered","Glaucidium","genus","289471","Late Pleistocene","","0.126","0.0117","50709"
"1265746","occ","","","75481","Strix aff. brevis","species","335043","","Strix brevis","species","335043","MN 9","","11.1","9.7","55045"
"1265747","occ","","","75481","Athene sp.","genus","94499","","Athene","genus","94499","MN 9","","11.1","9.7","55045"
"1310512","occ","","","175900","Aegolius martae","species","334583","","Aegolius martae","species","334583","Middle Pleistocene","","0.781","0.126","57644"
"1310513","occ","","","175899","Aegolius n. sp. martae","species","334583","","Aegolius martae","species","334583","Middle Pleistocene","","0.781","0.126","57644"
"1310514","occ","","","175900","Tyto n. sp. mourerchauvireae","species","334584","","Tyto mourerchauvireae","species","334584","Middle Pleistocene","","0.781","0.126","57645"
"1310549","occ","","","175903","Strigidae indet.","family","39403","","Strigidae","family","39403","Late Miocene","","11.608","5.333","57643"
"1311772","occ","","","125234","Tyto alba","species","94500","","Tyto alba","species","94500","Late Pleistocene","","0.126","0.0117","57804"
"1311798","occ","","","120827","Tyto alba","species","94500","","Tyto alba","species","94500","Late Pleistocene","","0.126","0.0117","57804"
"1311799","occ","","","120827","Asio priscus","species","335310","","Asio priscus","species","335310","Late Pleistocene","","0.126","0.0117","57804"
"1312019","occ","","","125237","Asio priscus","species","335310","","Asio priscus","species","335310","Late Pleistocene","","0.126","0.0117","57804"
"1312065","occ","","","176102","Tyto alba","species","94500","","Tyto alba","species","94500","Pleistocene","","2.588","0.0117","57804"
"1312066","occ","","","176102","Athene cunicularia","species","94499","species not entered","Athene","genus","94499","Pleistocene","","2.588","0.0117","57804"
