"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=chiroptera"
"Access Time","Thu 2017-02-16 07:22:10 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","chiroptera"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0726"
"Records Found","1220"
"Records Returned","1220"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"190724","occ","","","19088","Chiroptera ? indet.","order","40622","","Chiroptera","order","40622","Barstovian","","15.97","13.6","1489"
"190981","occ","","","19145","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Clarendonian","","13.6","10.3","3628"
"191069","occ","","","19181","Phyllostomatidae ? indet.","family","40654","","Phyllostomatidae","family","40654","Clarendonian","","13.6","10.3","2012"
"191131","occ","","","19193","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Barstovian","","15.97","13.6","2243"
"192374","occ","","","19522","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Barstovian","","15.97","13.6","2243"
"192392","occ","","","19523","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Barstovian","","15.97","13.6","2243"
"192591","occ","","","19550","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Barstovian","","15.97","13.6","2243"
"192634","occ","","","19557","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Barstovian","","15.97","13.6","2243"
"192788","occ","","","19599","Phyllostomatidae ? indet.","family","40654","","Phyllostomatidae","family","40654","Hemingfordian","","20.43","15.97","1995"
"192930","occ","","","19618","Myotis sp.","genus","40678","","Myotis","genus","40678","Blancan","","4.9","1.8","1292"
"192953","occ","8382","","19620","Lasiurus cf. blossevillii","species","40675","species not entered","Lasiurus","genus","40675","Blancan","","4.9","1.8","1295"
"193102","occ","8427","","19638","Eumops cf. perotis","species","46397","","Eumops perotis","species","48789","Blancan","","4.9","1.8","1295"
"193131","occ","8436","","19645","Histiotus stocki","species","47062","","Histiotus stocki","species","51573","Blancan","","4.9","1.8","6294"
"193167","occ","8444","","19650","Antrozous pallidus","species","44138","","Antrozous pallidus","species","52646","Blancan","","4.9","1.8","1295"
"193473","occ","","","19708","Eptesicus cf. fuscus","species","46252","","Eptesicus fuscus","species","52640","Blancan","","4.9","1.8","1295"
"193719","occ","","","19753","Tadarida sp.","genus","40691","","Tadarida","genus","40691","Blancan","","4.9","1.8","2621"
"193811","occ","","","19766","Lasiurus fossilis","species","47492","","Lasiurus fossilis","species","47492","Blancan","","4.9","1.8","3404"
"194124","occ","","","19908","Antrozous pallidus","species","44138","","Antrozous pallidus","species","52646","Blancan","","4.9","1.8","3404"
"194323","occ","","","19931","Lasiurus n. sp. fossilis","species","47492","","Lasiurus fossilis","species","47492","Blancan","","4.9","1.8","1860"
"194408","occ","","","19936","Lasiurus fossilis","species","47492","","Lasiurus fossilis","species","47492","Blancan","","4.9","1.8","1894"
"194608","occ","","","19954","Lasiurus sp.","genus","40675","","Lasiurus","genus","40675","Blancan","","4.9","1.8","1297"
"194779","occ","","","19966","Myotis sp.","genus","40678","","Myotis","genus","40678","Hemphillian","Blancan","10.3","1.8","1295"
"194780","occ","","","19966","Antrozous pallidus","species","44138","","Antrozous pallidus","species","52646","Hemphillian","Blancan","10.3","1.8","1295"
"194930","occ","","","20017","Antrozous sp.","genus","40665","","Antrozous","genus","40665","Blancan","","4.9","1.8","2886"
"194931","occ","","","20017","Myotis sp.","genus","40678","","Myotis","genus","40678","Blancan","","4.9","1.8","2886"
"195187","occ","","","20060","Lasionycteris noctivagans","species","47488","","Lasionycteris noctivagans","species","52645","Blancan","","4.9","1.8","6330"
"195188","occ","","","20060","Eptesicus fuscus","species","46252","","Eptesicus fuscus","species","52640","Blancan","","4.9","1.8","6330"
"195189","occ","","","20060","Lasiurus borealis","species","47490","","Lasiurus borealis","species","52636","Blancan","","4.9","1.8","6330"
"195190","occ","","","20060","Antrozous pallidus","species","44138","","Antrozous pallidus","species","52646","Blancan","","4.9","1.8","6330"
"195487","occ","","","20106","Anzanycteris anzensis","species","44139","","Anzanycteris anzensis","species","44139","Blancan","","4.9","1.8","1186"
"195503","occ","","","20107","Anzanycteris anzensis","species","44139","","Anzanycteris anzensis","species","44139","Blancan","","4.9","1.8","1186"
"195999","occ","","","20143","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","2419"
"196173","occ","","","20164","Eptesicus fuscus","species","46252","","Eptesicus fuscus","species","52640","Irvingtonian","","1.8","0.3","1319"
"196254","occ","","","20173","Microchiroptera indet.","suborder","40627","","Microchiroptera","suborder","40627","Irvingtonian","","1.8","0.3","2893"
