"Myotis sp.","Late Pleistocene"
"Myotis keeni","Late Pleistocene"
"Myotis griscens","Late Pleistocene"
"Myotis leibii","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Plecotus sp.","Late Pleistocene"
"Eptesicus sp.","Holocene"
"Myotis keeni","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Eptesicus sp.","Late Pleistocene"
"Myotis sp.","Irvingtonian"
"Plecotus sp.","Irvingtonian"
"Myotis sp.","Late Pleistocene"
"Eptesicus sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Eptesicus sp.","Late Pleistocene"
"Plecotus sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Desmodus sp.","Late Pleistocene"
"Plecotus sp.","Pleistocene"
"Myotis sp.","Pleistocene"
"Myotis sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Corynorhinus sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Myotis keeni","Pleistocene"
"Myotis sp.","Pleistocene"
"Pipistrellus sp.","Irvingtonian"
"Vespertilio grandis","Irvingtonian"
"Vespertilio sp.","Irvingtonian"
"Plecotus sp.","Pleistocene"
"Myotis leibii","Late Pleistocene"
"Myotis sp.","Irvingtonian"
"Plecotus sp.","Irvingtonian"
"Taphozous ? sp.","Middle Miocene"
"Megaderma sp.","Middle Miocene"
"Hipposideros (Brachipposideros) n. sp. khengkao","Middle Miocene"
"Ia n. sp. lanna","Middle Miocene"
"cf. Myotis horaceki","Rupelian"
"cf. Paleptesicus noctuloides","MN 5"
"cf. Paleptesicus sp.","MN 5"
"Macroderma indet.","Pleistocene"
"Macrotus waterhousii","Holocene"
"Myotis sp.","Holocene"
"Diclidurus indet.","Friasian"
"cf. Thyroptera tricolor","Friasian"
"Eumops sp.","Laventan"
"Mormoops megalophylla","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Philisis n. sp. sevketi","Early Oligocene"
"cf. Philisis sp.","Early Oligocene"
"Myotis sp.","Pliocene"
"Eptesicus informal sp. nov.","MN 9"
"Cuvierimops sp.","MP 26"
"Rhinolophus sp.","MN 4"
"Mormopterus indet.","Colhuehuapian"
"cf. Myotis indet.","Early Barstovian"
"Miniopterus schreibersii","Late Pleistocene"
"Miniopterus schreibersii","Pleistocene"
"Nyctophilus timoriensis","Early Pleistocene"
"cf. Icaronycteris sp.","Early Eocene"
"Hipposideros nooralebus","Middle Miocene"
"Macroderma gigas","Pleistocene"
"Mystacina tuberculata","Late Pleistocene"
"Mystacina cf. robusta","Late Pleistocene"
"Mystacina cf. robusta","Late Pleistocene"
"Mystacina tuberculata","Late Pleistocene"
"Macroderma sp.","Late Pleistocene"
"Macroderma gigas","Pleistocene"
"Macroderma gigas","Pleistocene"
"Macroderma gigas","Quaternary"
"cf. Archaeonycteris sp.","Early Eocene"
"Palaeochiropteryx sp.","Lutetian"
"Palaeochiropteryx sp.","Lutetian"
"Mystacina cf. robusta","Pleistocene"
"Megaderma richardsi","Pliocene"
"Hipposideros nooraleebus","Middle Miocene"
"cf. Miniopterus schreibersii","Late Pleistocene"
"Macroderma sp.","Middle Miocene"
"Brachipposideros sp.","Middle Miocene"
"Miniopterus fuliginosus","Late Pleistocene"
"Paleunycteris n. sp. pusilla","40689"
"Paleunycteris n. sp. rutimeyeri","40689"
"Rhinolophus sp.","Pleistocene"
"Myotis blythi","Pleistocene"
"Myotis sp.","Pleistocene"
"Pipistrellus sp.","Pleistocene"
"Archaeonycteris sp.","Bartonian"
"Palaeochiropteryx ? sp.","Bartonian"
"Archaeonycteris sp.","Bartonian"
"Palaeochiropteryx ? sp.","Bartonian"
"Stehlinia minor","Rupelian"
"Stehlinia sp.","Rupelian"
"Stehlinia minor","MP 20"
"Myotis misonnei","Early Oligocene"
"Palaeophyllophora sp.","Priabonian"
"Lapichiropteryx sp.","Sharamurunian"
"Icaronycteris ? sp.","Sharamurunian"
"Stehlinia sp.","Bartonian"
"Myotis sp.","Late Pleistocene"
"Myotis blythii","Late Pleistocene"
